facility_id,date,patient_consultations,medicine_code,quantity_dispensed,consumption_id
FAC-0001,2023-01-01,48,PARACETAMOL,108,CON-0000001
FAC-0001,2023-01-02,62,PARACETAMOL,123,CON-0000002
FAC-0001,2023-01-03,57,PARACETAMOL,113,CON-0000003
FAC-0001,2023-01-04,53,PARACETAMOL,88,CON-0000004
FAC-0001,2023-01-05,61,PARACETAMOL,113,CON-0000005
FAC-0001,2023-01-06,51,PARACETAMOL,85,CON-0000006
FAC-0001,2023-01-07,60,PARACETAMOL,106,CON-0000007
FAC-0001,2023-01-08,42,PARACETAMOL,77,CON-0000008
FAC-0001,2023-01-09,51,PARACETAMOL,107,CON-0000009
FAC-0001,2023-01-10,66,PARACETAMOL,119,CON-0000010
FAC-0001,2023-01-11,36,PARACETAMOL,60,CON-0000011
FAC-0001,2023-01-12,44,PARACETAMOL,79,CON-0000012
FAC-0001,2023-01-13,49,PARACETAMOL,79,CON-0000013
FAC-0001,2023-01-14,53,PARACETAMOL,89,CON-0000014
FAC-0001,2023-01-15,48,PARACETAMOL,89,CON-0000015
FAC-0001,2023-01-16,48,PARACETAMOL,81,CON-0000016
FAC-0001,2023-01-17,53,PARACETAMOL,82,CON-0000017
FAC-0001,2023-01-18,49,PARACETAMOL,93,CON-0000018
FAC-0001,2023-01-19,52,PARACETAMOL,111,CON-0000019
FAC-0001,2023-01-20,56,PARACETAMOL,101,CON-0000020
FAC-0001,2023-01-21,47,PARACETAMOL,87,CON-0000021
FAC-0001,2023-01-22,41,PARACETAMOL,65,CON-0000022
FAC-0001,2023-01-23,57,PARACETAMOL,109,CON-0000023
FAC-0001,2023-01-24,58,PARACETAMOL,103,CON-0000024
FAC-0001,2023-01-25,56,PARACETAMOL,99,CON-0000025
FAC-0001,2023-01-26,52,PARACETAMOL,110,CON-0000026
FAC-0001,2023-01-27,49,PARACETAMOL,82,CON-0000027
FAC-0001,2023-01-28,46,PARACETAMOL,77,CON-0000028
FAC-0001,2023-01-29,70,PARACETAMOL,133,CON-0000029
FAC-0001,2023-01-30,48,PARACETAMOL,86,CON-0000030
FAC-0001,2023-01-31,60,PARACETAMOL,93,CON-0000031
FAC-0001,2023-02-01,58,PARACETAMOL,119,CON-0000032
FAC-0001,2023-02-02,47,PARACETAMOL,94,CON-0000033
FAC-0001,2023-02-03,50,PARACETAMOL,95,CON-0000034
FAC-0001,2023-02-04,62,PARACETAMOL,122,CON-0000035
FAC-0001,2023-02-05,36,PARACETAMOL,51,CON-0000036
FAC-0001,2023-02-06,55,PARACETAMOL,108,CON-0000037
FAC-0001,2023-02-07,48,PARACETAMOL,72,CON-0000038
FAC-0001,2023-02-08,47,PARACETAMOL,84,CON-0000039
FAC-0001,2023-02-09,45,PARACETAMOL,83,CON-0000040
FAC-0001,2023-02-10,59,PARACETAMOL,102,CON-0000041
FAC-0001,2023-02-11,47,PARACETAMOL,78,CON-0000042
FAC-0001,2023-02-12,53,PARACETAMOL,99,CON-0000043
FAC-0001,2023-02-13,41,PARACETAMOL,62,CON-0000044
FAC-0001,2023-02-14,44,PARACETAMOL,72,CON-0000045
FAC-0001,2023-02-15,57,PARACETAMOL,125,CON-0000046
FAC-0001,2023-02-16,57,PARACETAMOL,101,CON-0000047
FAC-0001,2023-02-17,49,PARACETAMOL,81,CON-0000048
FAC-0001,2023-02-18,55,PARACETAMOL,90,CON-0000049
FAC-0001,2023-02-19,51,PARACETAMOL,102,CON-0000050
FAC-0001,2023-02-20,47,PARACETAMOL,90,CON-0000051
FAC-0001,2023-02-21,47,PARACETAMOL,69,CON-0000052
FAC-0001,2023-02-22,58,PARACETAMOL,128,CON-0000053
FAC-0001,2023-02-23,63,PARACETAMOL,113,CON-0000054
FAC-0001,2023-02-24,45,PARACETAMOL,76,CON-0000055
FAC-0001,2023-02-25,50,PARACETAMOL,90,CON-0000056
FAC-0001,2023-02-26,42,PARACETAMOL,78,CON-0000057
FAC-0001,2023-02-27,49,PARACETAMOL,86,CON-0000058
FAC-0001,2023-02-28,53,PARACETAMOL,97,CON-0000059
FAC-0001,2023-03-01,43,PARACETAMOL,84,CON-0000060
FAC-0001,2023-03-02,54,PARACETAMOL,105,CON-0000061
FAC-0001,2023-03-03,51,PARACETAMOL,85,CON-0000062
FAC-0001,2023-03-04,48,PARACETAMOL,79,CON-0000063
FAC-0001,2023-03-05,52,PARACETAMOL,91,CON-0000064
FAC-0001,2023-03-06,55,PARACETAMOL,108,CON-0000065
FAC-0001,2023-03-07,61,PARACETAMOL,99,CON-0000066
FAC-0001,2023-03-08,50,PARACETAMOL,97,CON-0000067
FAC-0001,2023-03-09,56,PARACETAMOL,112,CON-0000068
FAC-0001,2023-03-10,50,PARACETAMOL,114,CON-0000069
FAC-0001,2023-03-11,44,PARACETAMOL,64,CON-0000070
FAC-0001,2023-03-12,53,PARACETAMOL,92,CON-0000071
FAC-0001,2023-03-13,36,PARACETAMOL,65,CON-0000072
FAC-0001,2023-03-14,45,PARACETAMOL,80,CON-0000073
FAC-0001,2023-03-15,58,PARACETAMOL,113,CON-0000074
FAC-0001,2023-03-16,51,PARACETAMOL,98,CON-0000075
FAC-0001,2023-03-17,67,PARACETAMOL,107,CON-0000076
FAC-0001,2023-03-18,50,PARACETAMOL,94,CON-0000077
FAC-0001,2023-03-19,47,PARACETAMOL,73,CON-0000078
FAC-0001,2023-03-20,50,PARACETAMOL,106,CON-0000079
FAC-0001,2023-03-21,48,PARACETAMOL,82,CON-0000080
FAC-0001,2023-03-22,62,PARACETAMOL,107,CON-0000081
FAC-0001,2023-03-23,54,PARACETAMOL,85,CON-0000082
FAC-0001,2023-03-24,49,PARACETAMOL,98,CON-0000083
FAC-0001,2023-03-25,47,PARACETAMOL,81,CON-0000084
FAC-0001,2023-03-26,46,PARACETAMOL,80,CON-0000085
