facility_id,medicine_code,expected_delivery_date,actual_delivery_date,transit_delay_days,quantity_dispatched,delivery_id,delivery_status
FAC-0001,PARACETAMOL,2023-01-01,2023-01-14,13,5000,DEL-000001,Delayed
FAC-0001,PARACETAMOL,2023-01-31,2023-02-12,12,5000,DEL-000002,Delayed
FAC-0001,PARACETAMOL,2023-03-02,2023-03-15,13,5000,DEL-000003,Delayed
FAC-0001,PARACETAMOL,2023-04-01,2023-04-02,1,5000,DEL-000004,On-Time
FAC-0001,PARACETAMOL,2023-05-01,2023-05-01,0,5000,DEL-000005,On-Time
FAC-0001,PARACETAMOL,2023-05-31,2023-06-08,8,5000,DEL-000006,Delayed
FAC-0001,PARACETAMOL,2023-06-30,2023-07-07,7,5000,DEL-000007,Delayed
FAC-0001,PARACETAMOL,2023-07-30,2023-08-16,17,5000,DEL-000008,Delayed
FAC-0001,PARACETAMOL,2023-08-29,2023-08-29,0,5000,DEL-000009,On-Time
FAC-0001,PARACETAMOL,2023-09-28,2023-10-03,5,5000,DEL-000010,Delayed
FAC-0001,PARACETAMOL,2023-10-28,2023-10-28,0,5000,DEL-000011,On-Time
FAC-0001,PARACETAMOL,2023-11-27,2023-12-03,6,5000,DEL-000012,Delayed
FAC-0001,PARACETAMOL,2023-12-27,2024-01-05,9,5000,DEL-000013,Delayed
FAC-0001,RIF_INH,2023-01-01,2023-01-03,2,800,DEL-000014,On-Time
FAC-0001,RIF_INH,2023-01-31,2023-02-06,6,800,DEL-000015,Delayed
FAC-0001,RIF_INH,2023-03-02,2023-03-02,0,800,DEL-000016,On-Time
FAC-0001,RIF_INH,2023-04-01,2023-04-01,0,800,DEL-000017,On-Time
FAC-0001,RIF_INH,2023-05-01,2023-05-02,1,800,DEL-000018,On-Time
FAC-0001,RIF_INH,2023-05-31,2023-06-04,4,800,DEL-000019,Delayed
FAC-0001,RIF_INH,2023-06-30,2023-07-02,2,800,DEL-000020,On-Time
FAC-0001,RIF_INH,2023-07-30,2023-08-05,6,800,DEL-000021,Delayed
FAC-0001,RIF_INH,2023-08-29,2023-08-30,1,800,DEL-000022,On-Time
FAC-0001,RIF_INH,2023-09-28,2023-10-08,10,800,DEL-000023,Delayed
FAC-0001,RIF_INH,2023-10-28,2023-11-03,6,800,DEL-000024,Delayed
FAC-0001,RIF_INH,2023-11-27,2023-11-30,3,800,DEL-000025,On-Time
FAC-0001,RIF_INH,2023-12-27,2023-12-29,2,800,DEL-000026,On-Time
FAC-0001,EPINEPHRINE,2023-01-01,2023-01-03,2,10,DEL-000027,On-Time
FAC-0001,EPINEPHRINE,2023-01-31,2023-01-31,0,10,DEL-000028,On-Time
FAC-0001,EPINEPHRINE,2023-03-02,2023-03-02,0,10,DEL-000029,On-Time
FAC-0001,EPINEPHRINE,2023-04-01,2023-04-04,3,10,DEL-000030,On-Time
FAC-0001,EPINEPHRINE,2023-05-01,2023-05-03,2,10,DEL-000031,On-Time
FAC-0001,EPINEPHRINE,2023-05-31,2023-06-06,6,10,DEL-000032,Delayed
FAC-0001,EPINEPHRINE,2023-06-30,2023-07-03,3,10,DEL-000033,On-Time
FAC-0001,EPINEPHRINE,2023-07-30,2023-07-31,1,10,DEL-000034,On-Time
FAC-0001,EPINEPHRINE,2023-08-29,2023-08-31,2,10,DEL-000035,On-Time
FAC-0001,EPINEPHRINE,2023-09-28,2023-10-01,3,10,DEL-000036,On-Time
FAC-0001,EPINEPHRINE,2023-10-28,2023-10-29,1,10,DEL-000037,On-Time
FAC-0001,EPINEPHRINE,2023-11-27,2023-11-28,1,10,DEL-000038,On-Time
