facility_id,facility_type,region_type,population_served,storage_capacity_liters,reorder_interval_days
FAC-0001,RHU,Urban,17110,8598,30
FAC-0002,BHS,Rural,5293,2575,30
FAC-0003,RHU,Urban,29285,11923,30
FAC-0004,RHU,Urban,15392,9111,30
FAC-0005,BHS,Rural,4753,1999,30
FAC-0006,RHU,Urban,20305,8288,30
FAC-0007,RHU,Urban,19917,8946,30
FAC-0008,RHU,Urban,25250,10430,30
FAC-0009,BHS,Rural,3407,1672,30
FAC-0010,BHS,Rural,3803,1913,30
FAC-0011,BHS,Rural,6091,2817,30
FAC-0012,RHU,Urban,19689,8076,30
FAC-0013,RHU,Urban,27097,11443,30
FAC-0014,RHU,Urban,19489,9294,30
FAC-0015,BHS,Rural,2628,1083,30
FAC-0016,BHS,Rural,4565,2463,30
FAC-0017,BHS,Rural,6936,3061,30
FAC-0018,BHS,Rural,5347,2461,30
FAC-0019,RHU,Urban,15257,7305,30
FAC-0020,RHU,Urban,24152,11673,30
FAC-0021,RHU,Urban,17862,7150,30
FAC-0022,BHS,Rural,4762,2011,30
FAC-0023,RHU,Urban,16305,9335,30
FAC-0024,RHU,Urban,23785,9519,30
FAC-0025,RHU,Urban,18773,9417,30
FAC-0026,BHS,Rural,5275,2626,30
FAC-0027,BHS,Rural,5534,2582,30
FAC-0028,BHS,Rural,4449,2163,30
FAC-0029,BHS,Rural,5718,3179,30
FAC-0030,RHU,Urban,27804,15799,30
FAC-0031,RHU,Urban,20237,9148,30
FAC-0032,RHU,Urban,22128,10278,30
FAC-0033,BHS,Rural,6068,2721,30
FAC-0034,BHS,Rural,4846,2403,30
FAC-0035,BHS,Rural,6123,3285,30
FAC-0036,BHS,Rural,4645,2070,30
FAC-0037,BHS,Rural,6164,2873,30
FAC-0038,BHS,Rural,5105,2991,30
FAC-0039,BHS,Rural,5206,2132,30
FAC-0040,RHU,Urban,12348,6077,30
FAC-0041,BHS,Rural,4710,2554,30
FAC-0042,RHU,Urban,32197,13847,30
FAC-0043,RHU,Urban,20378,8344,30
FAC-0044,BHS,Rural,5361,2292,30
FAC-0045,RHU,Urban,20758,12117,30
FAC-0046,RHU,Urban,20855,8380,30
FAC-0047,BHS,Rural,4568,1999,30
FAC-0048,BHS,Rural,5918,2404,30
FAC-0049,RHU,Urban,24318,10265,30
FAC-0050,BHS,Rural,4370,2290,30
FAC-0051,BHS,Rural,3650,1636,30
FAC-0052,BHS,Rural,4339,2229,30
FAC-0053,RHU,Urban,30210,15649,30
FAC-0054,RHU,Urban,22687,12929,30
FAC-0055,RHU,Urban,20650,8279,30
FAC-0056,RHU,Urban,21431,12230,30
FAC-0057,BHS,Rural,5162,2703,30
FAC-0058,BHS,Rural,4193,1813,30
FAC-0059,BHS,Rural,5565,3086,30
FAC-0060,BHS,Rural,5530,3158,30
FAC-0061,RHU,Urban,29391,13251,30
FAC-0062,BHS,Rural,5445,3178,30
FAC-0063,BHS,Rural,5237,2570,30
FAC-0064,RHU,Urban,17585,9156,30
FAC-0065,RHU,Urban,24349,14534,30
FAC-0066,BHS,Rural,4754,2245,30
FAC-0067,BHS,Rural,4397,2473,30
FAC-0068,BHS,Rural,4174,1935,30
FAC-0069,BHS,Rural,4004,2241,30
FAC-0070,BHS,Rural,4288,2230,30
FAC-0071,BHS,Rural,4943,2191,30
FAC-0072,BHS,Rural,5267,2542,30
FAC-0073,RHU,Urban,18390,8524,30
FAC-0074,BHS,Rural,4387,1823,30
FAC-0075,BHS,Rural,5720,2322,30
FAC-0076,BHS,Rural,5591,2623,30
FAC-0077,BHS,Rural,4872,1967,30
FAC-0078,RHU,Urban,23928,10363,30
FAC-0079,BHS,Rural,5438,2963,30
FAC-0080,RHU,Urban,11741,6359,30
FAC-0081,RHU,Urban,25139,13769,30
FAC-0082,BHS,Rural,4945,2291,30
FAC-0083,RHU,Urban,19144,11065,30
FAC-0084,BHS,Rural,4280,2220,30
FAC-0085,BHS,Rural,5151,2190,30
FAC-0086,BHS,Rural,3836,1644,30
FAC-0087,RHU,Urban,31530,16982,30
FAC-0088,BHS,Rural,5998,2606,30
FAC-0089,BHS,Rural,4797,2405,30
FAC-0090,BHS,Rural,5290,3165,30
FAC-0091,BHS,Rural,3072,1231,30
FAC-0092,RHU,Urban,24500,9881,30
FAC-0093,BHS,Rural,4764,2851,30
FAC-0094,BHS,Rural,4142,2141,30
FAC-0095,BHS,Rural,5571,2369,30
FAC-0096,RHU,Urban,20083,11637,30
FAC-0097,BHS,Rural,4058,2337,30
FAC-0098,BHS,Rural,4330,2196,30
FAC-0099,BHS,Rural,5188,2720,30
FAC-0100,RHU,Urban,20300,9229,30
