audit_id,facility_id,medicine_code,audit_date,recorded_stock_balance
AUD-000001,FAC-0001,EPINEPHRINE,2023-01-31,12.0
AUD-000002,FAC-0001,EPINEPHRINE,2023-02-28,5.0
AUD-000003,FAC-0001,EPINEPHRINE,2023-03-31,8.0
AUD-000004,FAC-0001,EPINEPHRINE,2023-04-30,9.0
AUD-000005,FAC-0001,EPINEPHRINE,2023-05-31,6.0
AUD-000006,FAC-0001,EPINEPHRINE,2023-06-30,11.0
AUD-000007,FAC-0001,EPINEPHRINE,2023-07-31,18.0
AUD-000008,FAC-0001,EPINEPHRINE,2023-08-31,18.0
AUD-000009,FAC-0001,EPINEPHRINE,2023-09-30,13.0
AUD-000010,FAC-0001,EPINEPHRINE,2023-10-31,17.0
AUD-000011,FAC-0001,EPINEPHRINE,2023-11-30,22.0
AUD-000012,FAC-0001,EPINEPHRINE,2023-12-31,29.0
AUD-000013,FAC-0001,PARACETAMOL,2023-01-31,3290.0
AUD-000014,FAC-0001,PARACETAMOL,2023-02-28,5675.0
AUD-000015,FAC-0001,PARACETAMOL,2023-03-31,7750.0
AUD-000016,FAC-0001,PARACETAMOL,2023-04-30,10011.0
AUD-000017,FAC-0001,PARACETAMOL,2023-05-31,11971.0
AUD-000018,FAC-0001,PARACETAMOL,2023-06-30,12486.0
AUD-000019,FAC-0001,PARACETAMOL,2023-07-31,9122.0
AUD-000020,FAC-0001,PARACETAMOL,2023-08-31,8514.0
AUD-000021,FAC-0001,PARACETAMOL,2023-09-30,0.0
AUD-000022,FAC-0001,PARACETAMOL,2023-10-31,4272.0
AUD-000023,FAC-0001,PARACETAMOL,2023-11-30,2.0
AUD-000024,FAC-0001,PARACETAMOL,2023-12-31,2309.0
AUD-000025,FAC-0001,RIF_INH,2023-01-31,607.0
AUD-000026,FAC-0001,RIF_INH,2023-02-28,1223.0
AUD-000027,FAC-0001,RIF_INH,2023-03-31,1811.0
AUD-000028,FAC-0001,RIF_INH,2023-04-30,2382.0
AUD-000029,FAC-0001,RIF_INH,2023-05-31,2950.0
AUD-000030,FAC-0001,RIF_INH,2023-06-30,3518.0
AUD-000031,FAC-0001,RIF_INH,2023-07-31,4101.0
AUD-000032,FAC-0001,RIF_INH,2023-08-31,5428.0
AUD-000033,FAC-0001,RIF_INH,2023-09-30,5206.0
AUD-000034,FAC-0001,RIF_INH,2023-10-31,5760.0
AUD-000035,FAC-0001,RIF_INH,2023-11-30,7122.0
AUD-000036,FAC-0001,RIF_INH,2023-12-31,7647.0
AUD-000037,FAC-0002,EPINEPHRINE,2023-01-31,9.0
AUD-000038,FAC-0002,EPINEPHRINE,2023-02-28,18.0
AUD-000039,FAC-0002,EPINEPHRINE,2023-03-31,26.0
AUD-000040,FAC-0002,EPINEPHRINE,2023-04-30,30.0
AUD-000041,FAC-0002,EPINEPHRINE,2023-05-31,37.0
AUD-000042,FAC-0002,EPINEPHRINE,2023-06-30,43.0
AUD-000043,FAC-0002,EPINEPHRINE,2023-07-31,58.0
AUD-000044,FAC-0002,EPINEPHRINE,2023-08-31,62.0
AUD-000045,FAC-0002,EPINEPHRINE,2023-09-30,77.0
AUD-000046,FAC-0002,EPINEPHRINE,2023-10-31,65.0
AUD-000047,FAC-0002,EPINEPHRINE,2023-11-30,67.0
AUD-000048,FAC-0002,EPINEPHRINE,2023-12-31,71.0
AUD-000049,FAC-0002,PARACETAMOL,2023-01-31,4182.0
AUD-000050,FAC-0002,PARACETAMOL,2023-02-28,8315.0
AUD-000051,FAC-0002,PARACETAMOL,2023-03-31,12318.0
AUD-000052,FAC-0002,PARACETAMOL,2023-04-30,16371.0
AUD-000053,FAC-0002,PARACETAMOL,2023-05-31,20297.0
AUD-000054,FAC-0002,PARACETAMOL,2023-06-30,23379.0
AUD-000055,FAC-0002,PARACETAMOL,2023-07-31,24588.0
AUD-000056,FAC-0002,PARACETAMOL,2023-08-31,24159.0
AUD-000057,FAC-0002,PARACETAMOL,2023-09-30,23858.0
AUD-000058,FAC-0002,PARACETAMOL,2023-10-31,30158.0
AUD-000059,FAC-0002,PARACETAMOL,2023-11-30,28390.0
AUD-000060,FAC-0002,PARACETAMOL,2023-12-31,37145.0
AUD-000061,FAC-0002,RIF_INH,2023-01-31,731.0
AUD-000062,FAC-0002,RIF_INH,2023-02-28,1452.0
AUD-000063,FAC-0002,RIF_INH,2023-03-31,1371.0
AUD-000064,FAC-0002,RIF_INH,2023-04-30,2910.0
AUD-000065,FAC-0002,RIF_INH,2023-05-31,3608.0
AUD-000066,FAC-0002,RIF_INH,2023-06-30,4307.0
AUD-000067,FAC-0002,RIF_INH,2023-07-31,5798.0
AUD-000068,FAC-0002,RIF_INH,2023-08-31,5678.0
AUD-000069,FAC-0002,RIF_INH,2023-09-30,6368.0
AUD-000070,FAC-0002,RIF_INH,2023-10-31,7033.0
AUD-000071,FAC-0002,RIF_INH,2023-11-30,7717.0
AUD-000072,FAC-0002,RIF_INH,2023-12-31,7576.0
AUD-000073,FAC-0003,EPINEPHRINE,2023-01-31,13.0
AUD-000074,FAC-0003,EPINEPHRINE,2023-02-28,7.0
AUD-000075,FAC-0003,EPINEPHRINE,2023-03-31,1.0
AUD-000076,FAC-0003,EPINEPHRINE,2023-04-30,3.0
AUD-000077,FAC-0003,EPINEPHRINE,2023-05-31,4.0
AUD-000078,FAC-0003,EPINEPHRINE,2023-06-30,14.0
AUD-000079,FAC-0003,EPINEPHRINE,2023-07-31,23.0
AUD-000080,FAC-0003,EPINEPHRINE,2023-08-31,6.0
AUD-000081,FAC-0003,EPINEPHRINE,2023-09-30,2.0
AUD-000082,FAC-0003,EPINEPHRINE,2023-10-31,4.0
AUD-000083,FAC-0003,EPINEPHRINE,2023-11-30,9.0
AUD-000084,FAC-0003,EPINEPHRINE,2023-12-31,0.0
AUD-000085,FAC-0003,PARACETAMOL,2023-01-31,3348.0
AUD-000086,FAC-0003,PARACETAMOL,2023-02-28,3802.0
AUD-000087,FAC-0003,PARACETAMOL,2023-03-31,3808.0
AUD-000088,FAC-0003,PARACETAMOL,2023-04-30,3930.0
AUD-000089,FAC-0003,PARACETAMOL,2023-05-31,3848.0
AUD-000090,FAC-0003,PARACETAMOL,2023-06-30,1198.0
AUD-000091,FAC-0003,PARACETAMOL,2023-07-31,3875.0
AUD-000092,FAC-0003,PARACETAMOL,2023-08-31,6.0
AUD-000093,FAC-0003,PARACETAMOL,2023-09-30,9.0
AUD-000094,FAC-0003,PARACETAMOL,2023-10-31,4653.0
AUD-000095,FAC-0003,PARACETAMOL,2023-11-30,6.0
AUD-000096,FAC-0003,PARACETAMOL,2023-12-31,5943.0
AUD-000097,FAC-0003,RIF_INH,2023-01-31,690.0
AUD-000098,FAC-0003,RIF_INH,2023-02-28,1211.0
AUD-000099,FAC-0003,RIF_INH,2023-03-31,1678.0
AUD-000100,FAC-0003,RIF_INH,2023-04-30,2162.0
AUD-000101,FAC-0003,RIF_INH,2023-05-31,2608.0
AUD-000102,FAC-0003,RIF_INH,2023-06-30,3832.0
AUD-000103,FAC-0003,RIF_INH,2023-07-31,3441.0
AUD-000104,FAC-0003,RIF_INH,2023-08-31,3839.0
AUD-000105,FAC-0003,RIF_INH,2023-09-30,4251.0
AUD-000106,FAC-0003,RIF_INH,2023-10-31,4625.0
AUD-000107,FAC-0003,RIF_INH,2023-11-30,5005.0
AUD-000108,FAC-0003,RIF_INH,2023-12-31,5372.0
AUD-000109,FAC-0004,EPINEPHRINE,2023-01-31,4.0
AUD-000110,FAC-0004,EPINEPHRINE,2023-02-28,6.0
AUD-000111,FAC-0004,EPINEPHRINE,2023-03-31,4.0
AUD-000112,FAC-0004,EPINEPHRINE,2023-04-30,5.0
AUD-000113,FAC-0004,EPINEPHRINE,2023-05-31,3.0
AUD-000114,FAC-0004,EPINEPHRINE,2023-06-30,20.0
AUD-000115,FAC-0004,EPINEPHRINE,2023-07-31,6.0
AUD-000116,FAC-0004,EPINEPHRINE,2023-08-31,10.0
AUD-000117,FAC-0004,EPINEPHRINE,2023-09-30,17.0
AUD-000118,FAC-0004,EPINEPHRINE,2023-10-31,6.0
AUD-000119,FAC-0004,EPINEPHRINE,2023-11-30,15.0
AUD-000120,FAC-0004,EPINEPHRINE,2023-12-31,11.0
AUD-000121,FAC-0004,PARACETAMOL,2023-01-31,2983.0
AUD-000122,FAC-0004,PARACETAMOL,2023-02-28,5735.0
AUD-000123,FAC-0004,PARACETAMOL,2023-03-31,8024.0
AUD-000124,FAC-0004,PARACETAMOL,2023-04-30,10513.0
AUD-000125,FAC-0004,PARACETAMOL,2023-05-31,17858.0
AUD-000126,FAC-0004,PARACETAMOL,2023-06-30,13531.0
AUD-000127,FAC-0004,PARACETAMOL,2023-07-31,16806.0
AUD-000128,FAC-0004,PARACETAMOL,2023-08-31,7851.0
AUD-000129,FAC-0004,PARACETAMOL,2023-09-30,3570.0
AUD-000130,FAC-0004,PARACETAMOL,2023-10-31,6585.0
AUD-000131,FAC-0004,PARACETAMOL,2023-11-30,7542.0
AUD-000132,FAC-0004,PARACETAMOL,2023-12-31,5045.0
AUD-000133,FAC-0004,RIF_INH,2023-01-31,640.0
AUD-000134,FAC-0004,RIF_INH,2023-02-28,1275.0
AUD-000135,FAC-0004,RIF_INH,2023-03-31,1910.0
AUD-000136,FAC-0004,RIF_INH,2023-04-30,2493.0
AUD-000137,FAC-0004,RIF_INH,2023-05-31,3873.0
AUD-000138,FAC-0004,RIF_INH,2023-06-30,3671.0
AUD-000139,FAC-0004,RIF_INH,2023-07-31,4274.0
AUD-000140,FAC-0004,RIF_INH,2023-08-31,4854.0
AUD-000141,FAC-0004,RIF_INH,2023-09-30,6211.0
AUD-000142,FAC-0004,RIF_INH,2023-10-31,5966.0
AUD-000143,FAC-0004,RIF_INH,2023-11-30,7317.0
AUD-000144,FAC-0004,RIF_INH,2023-12-31,7089.0
AUD-000145,FAC-0005,EPINEPHRINE,2023-01-31,5.0
AUD-000146,FAC-0005,EPINEPHRINE,2023-02-28,7.0
