event_id,facility_id,medicine_code,stockout_date,estimated_unmet_demand
STK-000001,FAC-0001,EPINEPHRINE,2023-01-02,2.0
STK-000002,FAC-0001,PARACETAMOL,2023-01-01,108.0
STK-000003,FAC-0001,PARACETAMOL,2023-01-02,123.0
STK-000004,FAC-0001,PARACETAMOL,2023-01-03,113.0
STK-000005,FAC-0001,PARACETAMOL,2023-01-04,88.0
STK-000006,FAC-0001,PARACETAMOL,2023-01-05,113.0
STK-000007,FAC-0001,PARACETAMOL,2023-01-06,85.0
STK-000008,FAC-0001,PARACETAMOL,2023-01-07,106.0
STK-000009,FAC-0001,PARACETAMOL,2023-01-08,77.0
STK-000010,FAC-0001,PARACETAMOL,2023-01-09,107.0
STK-000011,FAC-0001,PARACETAMOL,2023-01-10,119.0
STK-000012,FAC-0001,PARACETAMOL,2023-01-11,60.0
STK-000013,FAC-0001,PARACETAMOL,2023-01-12,79.0
STK-000014,FAC-0001,PARACETAMOL,2023-01-13,79.0
STK-000015,FAC-0001,PARACETAMOL,2023-09-27,232.0
STK-000016,FAC-0001,PARACETAMOL,2023-09-28,306.0
STK-000017,FAC-0001,PARACETAMOL,2023-09-29,440.0
STK-000018,FAC-0001,PARACETAMOL,2023-09-30,332.0
STK-000019,FAC-0001,PARACETAMOL,2023-10-01,198.0
STK-000020,FAC-0001,PARACETAMOL,2023-10-02,217.0
STK-000021,FAC-0001,PARACETAMOL,2023-10-21,5.0
STK-000022,FAC-0001,PARACETAMOL,2023-10-22,279.0
STK-000023,FAC-0001,PARACETAMOL,2023-10-23,250.0
STK-000024,FAC-0001,PARACETAMOL,2023-10-24,177.0
STK-000025,FAC-0001,PARACETAMOL,2023-10-25,215.0
STK-000026,FAC-0001,PARACETAMOL,2023-10-26,160.0
STK-000027,FAC-0001,PARACETAMOL,2023-10-27,192.0
STK-000028,FAC-0001,PARACETAMOL,2023-11-29,23.0
STK-000029,FAC-0001,PARACETAMOL,2023-11-30,64.0
STK-000030,FAC-0001,PARACETAMOL,2023-12-01,77.0
STK-000031,FAC-0001,PARACETAMOL,2023-12-02,81.0
STK-000032,FAC-0001,RIF_INH,2023-01-01,3.0
